City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,los algarrobos,8.5,-82.4333,30.23,66,20,5.14,PA,1679954991
304,ishim,56.1128,69.4902,2.68,92,100,6.52,RU,1679954991
305,yatou,37.15,122.3833,3.81,73,0,2.18,CN,1679954991
306,saint albans,51.75,-0.3333,5.54,73,68,2.06,GB,1679954992
307,acapulco,16.8634,-99.8901,29.9,54,0,5.14,MX,1679954747
308,tubuala,9.5167,-79.0333,26.39,83,35,5.87,PA,1679954992
309,paysandu,-32.3214,-58.0756,19.94,55,3,2.76,UY,1679954992
310,fairbanks,64.8378,-147.7164,4.19,50,100,1.54,US,1679954744
311,nueve de julio,-35.4444,-60.8831,24.42,45,0,1.79,AR,1679954993
312,leningradskiy,69.3833,178.4167,-18.25,78,44,3.56,RU,1679954993
313,birjand,32.8663,59.2211,12.97,67,94,1.37,IR,1679954994
314,manta,-0.95,-80.7333,28.88,79,40,1.03,EC,1679954994
315,svetlogorsk,52.6333,29.7333,8.58,71,100,6.71,BY,1679954994
316,vila franca do campo,37.7167,-25.4333,16.23,91,23,5.91,PT,1679954994
317,marfino,55.7028,37.3822,3.95,100,49,3.0,RU,1679954995
318,bansi,27.1833,82.9333,21.72,29,0,3.58,IN,1679954995
319,marawi,7.9986,124.2928,19.8,96,100,0.58,PH,1679954995
320,diego de almagro,-26.3667,-70.05,24.58,35,0,4.03,CL,1679954995
321,saint-joseph,-21.3667,55.6167,23.21,78,23,1.43,RE,1679954996
322,sinazongwe,-17.2614,27.4618,22.61,81,54,4.96,ZM,1679954996
323,narsaq,60.9167,-46.05,2.12,83,3,1.6,GL,1679954996
324,hirara,24.8,125.2833,19.15,88,100,8.75,JP,1679954996
325,tautira,-17.7333,-149.15,27.03,76,88,3.04,PF,1679954997
326,mandali,33.7499,45.5541,17.09,77,58,0.26,IQ,1679954997
327,okhotsk,59.3833,143.3,-15.65,99,99,1.91,RU,1679954997
328,vagur,61.4732,-6.8119,3.62,69,100,8.12,FO,1679954998
329,dong hoi,17.4833,106.6,21.41,90,100,4.68,VN,1679954998
330,chifeng,42.2683,118.9636,1.87,30,92,2.0,CN,1679954998
331,yaan,7.3833,8.5667,29.16,50,82,2.3,NG,1679954998
332,macamic,48.7502,-78.9996,-3.58,86,100,3.57,CA,1679954999
333,urumqi,43.801,87.6005,7.53,43,40,1.0,CN,1679954837
334,vestmanna,62.1564,-7.1664,-2.49,93,75,0.0,FO,1679954999
335,nanortalik,60.1432,-45.2371,-1.81,81,3,0.77,GL,1679954999
336,beringovskiy,63.05,179.3167,-11.52,81,4,2.93,RU,1679954999
337,qaqortoq,60.7167,-46.0333,-3.28,84,4,0.9,GL,1679955000
338,salalah,17.0151,54.0924,28.05,78,40,4.12,OM,1679955001
339,shirokiy,49.758,129.523,-0.99,65,52,2.38,RU,1679955006
340,kiruna,67.8557,20.2251,-22.49,77,17,2.06,SE,1679955007
341,cuamba,-14.8031,36.5372,20.15,95,81,2.57,MZ,1679955010
342,kroya,-7.6331,109.2461,24.87,82,100,1.64,ID,1679955016
343,alugan,12.2188,125.4808,26.04,83,84,3.94,PH,1679955018
344,rawson,-43.3002,-65.1023,28.66,13,9,9.6,AR,1679955019
345,nome,64.5011,-165.4064,-5.96,93,75,6.17,US,1679955019
346,linxia,35.6003,103.2064,6.07,49,100,0.83,CN,1679955019
347,barreiras,-12.1528,-44.99,23.16,88,100,0.63,BR,1679955020
348,casper,42.8666,-106.3131,-0.71,58,100,6.69,US,1679954879
349,mago,53.2514,140.1822,-6.61,97,100,0.28,RU,1679955026
350,lagoa,39.05,-27.9833,15.13,76,0,12.23,PT,1679955027
351,oistins,13.0667,-59.5333,26.05,69,40,8.75,BB,1679954822
352,san policarpo,12.1791,125.5072,26.35,82,86,4.22,PH,1679955033
353,bembereke,10.2283,2.6634,28.88,40,97,1.91,BJ,1679955033
354,lavrentiya,65.5833,-171.0,-16.96,81,6,4.04,RU,1679955039
355,alofi,-19.0595,-169.9187,28.94,79,75,3.09,NU,1679955039
356,alamosa,37.4695,-105.87,-0.01,11,0,5.14,US,1679955040
357,saint george,37.1041,-113.5841,13.02,17,0,2.24,US,1679955041
358,clinton,42.587,-82.9199,8.7,69,75,5.14,US,1679955041
359,san patricio,28.017,-97.5169,26.97,66,88,5.67,US,1679955042
360,mutsu,41.2894,141.2169,4.79,66,3,2.82,JP,1679955042
361,cairns,-16.9167,145.7667,25.97,84,11,3.6,AU,1679955042
362,matinha,-3.1006,-45.0336,24.26,94,90,1.29,BR,1679955043
363,zyryanovsk,49.7386,84.2719,-1.66,99,98,0.49,KZ,1679955043
364,viytivka,48.426,29.5429,9.73,62,100,7.23,UA,1679955043
365,cabanas,22.9758,-82.9219,29.9,46,5,4.2,CU,1679954833
